timestamp,entries,exits,in_store
2026-04-30T16:50:34.038692,2,0,2
2026-04-30T16:51:04.215535,4,1,3
2026-04-30T16:51:34.349624,4,1,3
2026-04-30T16:52:04.397072,4,1,3
2026-04-30T16:52:34.583604,4,2,2
2026-04-30T16:53:04.700178,4,2,2
2026-04-30T16:53:25.136854,4,2,2
2026-04-30T16:54:23.018057,0,0,0
2026-04-30T16:54:53.138595,0,0,0
2026-04-30T16:55:23.194759,0,0,0
2026-04-30T16:56:33.062478,0,0,0
