timestamp,entered,exited,inside
2026-05-01T16:41:08.400720,0,0,0
2026-05-01T16:41:38.494237,0,0,0
2026-05-01T16:42:08.495044,0,0,0
2026-05-01T16:42:38.658811,0,0,0
2026-05-01T16:43:08.712425,0,0,0
2026-05-01T16:43:17.147418,0,0,0
2026-05-01T17:05:54.252123,0,0,0,0,0
2026-05-01T17:06:24.278669,0,0,0,0,0
2026-05-01T17:06:54.293236,0,0,0,0,0
2026-05-01T17:07:20.771992,0,0,0,0,0
2026-05-01T17:07:57.643771,0,0,0,0,0
2026-05-01T17:08:27.742722,0,0,0,0,0
2026-05-01T17:08:29.982421,0,0,0,0,0
2026-05-01T17:09:17.036352,0,0,0,0,0
2026-05-01T17:09:47.137097,0,0,0,0,0
2026-05-01T17:10:17.141105,0,0,0,0,0
2026-05-01T17:10:47.146868,0,0,0,0,0
2026-05-01T17:11:17.237718,0,0,0,0,0
2026-05-01T17:11:47.244963,0,0,0,0,0
2026-05-01T17:12:17.334010,0,0,0,0,0
2026-05-01T17:12:47.334590,1,0,1,0,1
2026-05-01T17:13:17.338120,1,0,1,0,1
2026-05-01T17:13:47.452145,1,0,1,0,1
2026-05-01T17:14:17.489839,1,0,1,0,1
2026-05-01T17:14:47.575514,1,0,1,0,1
2026-05-01T17:15:17.672207,1,0,1,0,1
2026-05-01T17:15:47.759267,1,0,1,0,1
2026-05-01T17:16:17.799221,1,0,1,0,1
2026-05-01T17:16:22.673089,1,0,1,0,1
2026-05-01T17:17:10.209042,0,0,0,0,0
2026-05-01T17:23:12.475554,0,0,0,0,0
2026-05-01T17:23:42.565135,0,0,0,0,0
2026-05-01T17:24:12.693202,0,0,0,0,0
2026-05-01T17:24:42.793298,0,0,0,0,0
2026-05-01T17:24:59.584754,0,0,0,0,0
2026-05-01T17:25:14.857286,0,0,0,0,0
2026-05-01T21:40:43.237541,0,0,0,0,0
2026-05-01T21:41:13.269293,0,0,0,0,0
2026-05-01T21:41:43.359404,0,0,0,0,0
2026-05-01T21:42:13.494028,0,0,0,0,0
2026-05-01T21:42:43.655229,0,0,0,0,0
2026-05-01T21:43:13.665133,0,0,0,0,0
2026-05-01T21:43:43.680693,0,0,0,1,1
2026-05-01T21:44:13.863562,0,0,0,1,1
2026-05-01T21:44:42.634304,0,0,0,1,1
2026-05-01T21:51:53.317937,0,0,0,0,0
2026-05-01T21:52:23.433189,0,0,0,0,0
2026-05-01T21:52:53.721116,0,0,0,0,0
2026-05-01T21:53:23.824499,0,0,0,0,0
2026-05-01T21:53:54.201964,0,0,0,0,0
2026-05-01T21:54:24.326264,0,0,0,1,1
2026-05-01T21:54:54.449061,0,0,0,1,1
2026-05-01T21:55:24.705934,0,0,0,1,1
2026-05-01T21:55:54.861433,0,0,0,1,1
2026-05-01T21:56:25.028048,0,0,0,1,1
2026-05-01T21:56:55.207173,0,0,0,1,1
2026-05-01T21:57:25.222694,0,0,0,1,1
2026-05-01T21:57:55.305474,0,0,0,1,1
2026-05-01T21:58:13.429373,0,0,0,1,1
